@relation titanic_predicted

@attribute predictedclass {0,1}
@attribute class {0,1}
@attribute Pclass numeric
@attribute Sex numeric
@attribute Age numeric
@attribute SibSp numeric
@attribute Parch numeric
@attribute Fare numeric
@attribute familysize numeric
@attribute fareperperson numeric

@data
0,?,3,0,34.5,0,0,7.8292,0,7.8292
0,?,3,1,47,1,0,7,1,3.5
0,?,2,0,62,0,0,9.6875,0,9.6875
0,?,3,0,27,0,0,8.6625,0,8.6625
1,?,3,1,22,1,1,12.2875,2,4.095833
0,?,3,0,14,0,0,9.225,0,9.225
1,?,3,1,30,0,0,7.6292,0,7.6292
0,?,2,0,26,1,1,29,2,9.666667
1,?,3,1,18,0,0,7.2292,0,7.2292
0,?,3,0,21,2,0,24.15,2,8.05
0,?,3,0,?,0,0,7.8958,0,7.8958
0,?,1,0,46,0,0,26,0,26
1,?,1,1,23,1,0,82.2667,1,41.13335
0,?,2,0,63,1,0,26,1,13
1,?,1,1,47,1,0,61.175,1,30.5875
1,?,2,1,24,1,0,27.7208,1,13.8604
0,?,2,0,35,0,0,12.35,0,12.35
0,?,3,0,21,0,0,7.225,0,7.225
0,?,3,1,27,1,0,7.925,1,3.9625
1,?,3,1,45,0,0,7.225,0,7.225
0,?,1,0,55,1,0,59.4,1,29.7
1,?,3,0,9,0,1,3.1708,1,1.5854
1,?,1,1,?,0,0,31.6833,0,31.6833
0,?,1,0,21,0,1,61.3792,1,30.6896
1,?,1,1,48,1,3,262.375,4,52.475
0,?,3,0,50,1,0,14.5,1,7.25
1,?,1,1,22,0,1,61.9792,1,30.9896
0,?,3,0,22.5,0,0,7.225,0,7.225
0,?,1,0,41,0,0,30.5,0,30.5
0,?,3,0,?,2,0,21.6792,2,7.2264
0,?,2,0,50,1,0,26,1,13
0,?,2,0,24,2,0,31.5,2,10.5
1,?,3,1,33,1,2,20.575,3,5.14375
1,?,3,1,?,1,2,23.45,3,5.8625
1,?,1,0,30,1,0,57.75,1,28.875
0,?,3,0,18.5,0,0,7.2292,0,7.2292
0,?,3,1,?,0,0,8.05,0,8.05
0,?,3,1,21,0,0,8.6625,0,8.6625
0,?,3,0,25,0,0,9.5,0,9.5
0,?,3,0,?,0,0,56.4958,0,56.4958
0,?,3,0,39,0,1,13.4167,1,6.70835
1,?,1,0,?,0,0,26.55,0,26.55
0,?,3,0,41,0,0,7.85,0,7.85
1,?,2,1,30,0,0,13,0,13
1,?,1,1,45,1,0,52.5542,1,26.2771
0,?,3,0,25,0,0,7.925,0,7.925
0,?,1,0,45,0,0,29.7,0,29.7
0,?,3,0,?,0,0,7.75,0,7.75
1,?,1,1,60,0,0,76.2917,0,76.2917
1,?,3,1,36,0,2,15.9,2,5.3
1,?,1,0,24,1,0,60,1,30
0,?,2,0,27,0,0,15.0333,0,15.0333
1,?,2,1,20,2,1,23,3,5.75
1,?,1,1,28,3,2,263,5,43.833333
0,?,2,0,?,0,0,15.5792,0,15.5792
0,?,3,0,10,4,1,29.125,5,4.854167
0,?,3,0,35,0,0,7.8958,0,7.8958
0,?,3,0,25,0,0,7.65,0,7.65
0,?,3,0,?,1,0,16.1,1,8.05
1,?,1,1,36,0,0,262.375,0,262.375
0,?,3,0,17,0,0,7.8958,0,7.8958
0,?,2,0,32,0,0,13.5,0,13.5
0,?,3,0,18,0,0,7.75,0,7.75
1,?,3,1,22,0,0,7.725,0,7.725
0,?,1,0,13,2,2,262.375,4,52.475
1,?,2,1,?,0,0,21,0,21
1,?,3,1,18,0,0,7.8792,0,7.8792
0,?,1,0,47,0,0,42.4,0,42.4
0,?,1,0,31,0,0,28.5375,0,28.5375
1,?,1,1,60,1,4,263,5,43.833333
1,?,3,1,24,0,0,7.75,0,7.75
0,?,3,0,21,0,0,7.8958,0,7.8958
1,?,3,1,29,0,0,7.925,0,7.925
0,?,1,0,28.5,0,0,27.7208,0,27.7208
1,?,1,1,35,0,0,211.5,0,211.5
0,?,1,0,32.5,0,0,211.5,0,211.5
0,?,3,0,?,0,0,8.05,0,8.05
1,?,1,1,55,2,0,25.7,2,8.566667
0,?,2,0,30,0,0,13,0,13
1,?,3,1,24,0,0,7.75,0,7.75
1,?,3,0,6,1,1,15.2458,2,5.081933
0,?,1,0,67,1,0,221.7792,1,110.8896
0,?,1,0,49,0,0,26,0,26
0,?,3,0,?,0,0,7.8958,0,7.8958
0,?,2,0,?,0,0,10.7083,0,10.7083
0,?,3,0,?,1,0,14.4542,1,7.2271
1,?,3,1,27,0,0,7.8792,0,7.8792
0,?,3,1,18,0,0,8.05,0,8.05
1,?,3,1,?,0,0,7.75,0,7.75
1,?,2,0,2,1,1,23,2,7.666667
0,?,3,1,22,1,0,13.9,1,6.95
0,?,3,0,?,0,0,7.775,0,7.775
1,?,1,1,27,1,2,52,3,13
0,?,3,0,?,0,0,8.05,0,8.05
0,?,1,0,25,0,0,26,0,26
0,?,3,0,25,0,0,7.7958,0,7.7958
1,?,1,1,76,1,0,78.85,1,39.425
0,?,3,0,29,0,0,7.925,0,7.925
1,?,3,1,20,0,0,7.8542,0,7.8542
0,?,3,0,33,0,0,8.05,0,8.05
1,?,1,1,43,1,0,55.4417,1,27.72085
0,?,2,0,27,1,0,26,1,13
0,?,3,0,?,0,0,7.75,0,7.75
0,?,3,0,26,0,0,7.775,0,7.775
1,?,3,1,16,1,1,8.5167,2,2.8389
0,?,3,0,28,0,0,22.525,0,22.525
0,?,3,0,21,0,0,7.8208,0,7.8208
0,?,3,0,?,0,0,7.75,0,7.75
0,?,3,0,?,0,0,8.7125,0,8.7125
0,?,2,0,18.5,0,0,13,0,13
0,?,2,0,41,0,0,15.0458,0,15.0458
1,?,3,1,?,0,0,7.7792,0,7.7792
1,?,1,1,36,0,0,31.6792,0,31.6792
1,?,3,1,18.5,0,0,7.2833,0,7.2833
1,?,1,1,63,1,0,221.7792,1,110.8896
0,?,3,0,18,1,0,14.4542,1,7.2271
0,?,3,0,?,0,0,6.4375,0,6.4375
1,?,3,1,1,1,1,16.7,2,5.566667
0,?,1,0,36,0,0,75.2417,0,75.2417
1,?,2,1,29,1,0,26,1,13
1,?,2,1,12,0,0,15.75,0,15.75
0,?,3,0,?,1,0,7.75,1,3.875
1,?,1,1,35,1,0,57.75,1,28.875
0,?,3,0,28,0,0,7.25,0,7.25
0,?,3,0,?,0,0,7.75,0,7.75
0,?,3,1,17,0,1,16.1,1,8.05
0,?,3,0,22,0,0,7.7958,0,7.7958
1,?,3,1,?,2,0,23.25,2,7.75
0,?,2,0,42,0,0,13,0,13
0,?,3,0,24,0,0,8.05,0,8.05
0,?,3,0,32,0,0,8.05,0,8.05
0,?,1,0,53,0,0,28.5,0,28.5
0,?,3,1,?,0,4,25.4667,4,5.09334
0,?,3,0,?,1,0,6.4375,1,3.21875
0,?,3,0,43,0,0,7.8958,0,7.8958
0,?,3,0,24,0,0,7.8542,0,7.8542
0,?,3,0,26.5,0,0,7.225,0,7.225
0,?,2,0,26,0,0,13,0,13
0,?,3,1,23,0,0,8.05,0,8.05
0,?,3,0,40,1,6,46.9,7,5.8625
0,?,3,1,10,5,2,46.9,7,5.8625
1,?,1,1,33,0,0,151.55,0,151.55
0,?,1,0,61,1,3,262.375,4,52.475
0,?,2,0,28,0,0,26,0,26
1,?,1,0,42,0,0,26.55,0,26.55
0,?,3,0,31,3,0,18,3,4.5
0,?,1,0,?,0,0,51.8625,0,51.8625
0,?,3,0,22,0,0,8.05,0,8.05
1,?,1,0,?,0,0,26.55,0,26.55
0,?,2,0,30,1,1,26,2,8.666667
1,?,1,1,23,0,1,83.1583,1,41.57915
0,?,3,0,?,0,0,7.8958,0,7.8958
0,?,3,0,60.5,0,0,?,0,?
0,?,3,1,36,0,2,12.1833,2,4.0611
0,?,3,0,13,4,2,31.3875,6,4.483929
0,?,3,0,24,0,0,7.55,0,7.55
1,?,1,1,29,0,0,221.7792,0,221.7792
1,?,3,1,23,0,0,7.8542,0,7.8542
1,?,1,0,42,0,0,26.55,0,26.55
1,?,3,1,26,0,2,13.775,2,4.591667
1,?,3,1,?,0,0,7.7333,0,7.7333
1,?,3,0,7,1,1,15.2458,2,5.081933
1,?,2,1,26,0,0,13.5,0,13.5
0,?,3,0,?,0,0,7,0,7
0,?,2,0,41,0,0,13,0,13
1,?,3,1,26,1,1,22.025,2,7.341667
0,?,1,0,48,0,0,50.4958,0,50.4958
0,?,3,0,18,2,2,34.375,4,6.875
1,?,1,1,?,0,0,27.7208,0,27.7208
0,?,3,1,22,0,0,8.9625,0,8.9625
0,?,3,0,?,0,0,7.55,0,7.55
0,?,3,0,27,0,0,7.225,0,7.225
0,?,3,0,23,1,0,13.9,1,6.95
0,?,3,0,?,0,0,7.2292,0,7.2292
0,?,3,0,40,1,5,31.3875,6,4.483929
1,?,2,1,15,0,2,39,2,13
1,?,2,1,20,0,0,36.75,0,36.75
0,?,1,0,54,1,0,55.4417,1,27.72085
1,?,2,1,36,0,3,39,3,9.75
1,?,1,1,64,0,2,83.1583,2,27.719433
0,?,2,0,30,0,0,13,0,13
0,?,1,0,37,1,1,83.1583,2,27.719433
1,?,1,1,18,1,0,53.1,1,26.55
0,?,3,0,?,0,0,7.75,0,7.75
1,?,1,1,27,1,1,247.5208,2,82.506933
0,?,2,0,40,0,0,16,0,16
1,?,2,1,21,0,1,21,1,10.5
0,?,3,0,17,2,0,8.05,2,2.683333
0,?,3,1,?,8,2,69.55,10,6.322727
0,?,2,0,40,0,0,13,0,13
