@relation titanic_predicted

@attribute predictedSurvived {0,1}
@attribute Survived {0,1}
@attribute Pclass {1,2,3}
@attribute Sex {male,female}
@attribute Age numeric
@attribute SibSp numeric
@attribute Parch numeric
@attribute Fare numeric
@attribute Embarked {S,C,Q}
@attribute Deck {A,B,C,D,E,F,T,G}
@attribute Title {Mr,Mrs,Miss,Master}
@attribute Familysize numeric
@attribute Age*Class numeric
@attribute FarePerPerson numeric

@data
0,?,3,male,34.5,0,0,7.8292,Q,?,Mr,0,103.5,7.8292
1,?,3,female,47,1,0,7,S,?,Mrs,1,141,3.5
0,?,2,male,62,0,0,9.6875,Q,?,Mr,0,124,9.6875
0,?,3,male,27,0,0,8.6625,S,?,Mr,0,81,8.6625
1,?,3,female,22,1,1,12.2875,S,?,Mrs,2,66,4.095833
0,?,3,male,14,0,0,9.225,S,?,Mr,0,42,9.225
0,?,3,female,30,0,0,7.6292,Q,?,Miss,0,90,7.6292
0,?,2,male,26,1,1,29,S,?,Mr,2,52,9.666667
1,?,3,female,18,0,0,7.2292,C,?,Mrs,0,54,7.2292
0,?,3,male,21,2,0,24.15,S,?,Mr,2,63,8.05
0,?,3,male,32,0,0,7.8958,S,?,Mr,0,96,7.8958
0,?,1,male,46,0,0,26,S,?,Mr,0,46,26
1,?,1,female,23,1,0,82.2667,S,B,Mrs,1,23,41.13335
0,?,2,male,63,1,0,26,S,?,Mr,1,126,13
1,?,1,female,47,1,0,61.175,S,E,Mrs,1,47,30.5875
1,?,2,female,24,1,0,27.7208,C,?,Mrs,1,48,13.8604
0,?,2,male,35,0,0,12.35,Q,?,Mr,0,70,12.35
0,?,3,male,21,0,0,7.225,C,?,Mr,0,63,7.225
0,?,3,female,27,1,0,7.925,S,?,Miss,1,81,3.9625
1,?,3,female,45,0,0,7.225,C,?,Mrs,0,135,7.225
0,?,1,male,55,1,0,59.4,C,?,Mr,1,55,29.7
1,?,3,male,9,0,1,3.1708,S,?,Master,1,27,1.5854
1,?,1,female,38.903226,0,0,31.6833,S,?,Mrs,0,38.903226,31.6833
0,?,1,male,21,0,1,61.3792,C,?,Mr,1,21,30.6896
1,?,1,female,48,1,3,262.375,C,B,Mrs,4,48,52.475
0,?,3,male,50,1,0,14.5,S,?,Mr,1,150,7.25
1,?,1,female,22,0,1,61.9792,C,B,Miss,1,22,30.9896
0,?,3,male,22.5,0,0,7.225,C,?,Mr,0,67.5,7.225
1,?,1,male,41,0,0,30.5,S,A,Mr,0,41,30.5
0,?,3,male,32,2,0,21.6792,C,?,Mr,2,96,7.2264
0,?,2,male,50,1,0,26,S,?,Mr,1,100,13
0,?,2,male,24,2,0,31.5,S,?,Mr,2,48,10.5
1,?,3,female,33,1,2,20.575,S,?,Mrs,3,99,5.14375
0,?,3,female,38.903226,1,2,23.45,S,?,Mrs,3,116.709677,5.8625
1,?,1,male,30,1,0,57.75,C,C,Mr,1,30,28.875
0,?,3,male,18.5,0,0,7.2292,C,?,Mr,0,55.5,7.2292
0,?,3,female,21.774844,0,0,8.05,S,?,Miss,0,65.324531,8.05
0,?,3,female,21,0,0,8.6625,S,?,Miss,0,63,8.6625
0,?,3,male,25,0,0,9.5,S,?,Mr,0,75,9.5
1,?,3,male,32,0,0,56.4958,S,?,Mr,0,96,56.4958
0,?,3,male,39,0,1,13.4167,C,?,Mr,1,117,6.70835
1,?,1,male,32,0,0,26.55,S,D,Mr,0,32,26.55
0,?,3,male,41,0,0,7.85,S,?,Mr,0,123,7.85
1,?,2,female,30,0,0,13,S,?,Mrs,0,60,13
1,?,1,female,45,1,0,52.5542,S,D,Mrs,1,45,26.2771
0,?,3,male,25,0,0,7.925,S,?,Mr,0,75,7.925
1,?,1,male,45,0,0,29.7,C,A,Mr,0,45,29.7
0,?,3,male,32,0,0,7.75,Q,?,Mr,0,96,7.75
1,?,1,female,60,0,0,76.2917,C,D,Mrs,0,60,76.2917
1,?,3,female,36,0,2,15.9,S,?,Mrs,2,108,5.3
1,?,1,male,24,1,0,60,S,C,Mr,1,24,30
0,?,2,male,27,0,0,15.0333,C,?,Mr,0,54,15.0333
1,?,2,female,20,2,1,23,S,?,Miss,3,40,5.75
1,?,1,female,28,3,2,263,S,C,Miss,5,28,43.833333
0,?,2,male,32,0,0,15.5792,C,?,Mr,0,64,15.5792
0,?,3,male,10,4,1,29.125,Q,?,Master,5,30,4.854167
0,?,3,male,35,0,0,7.8958,S,?,Mr,0,105,7.8958
0,?,3,male,25,0,0,7.65,S,F,Mr,0,75,7.65
0,?,3,male,32,1,0,16.1,S,?,Mr,1,96,8.05
1,?,1,female,36,0,0,262.375,C,B,Miss,0,36,262.375
0,?,3,male,17,0,0,7.8958,S,?,Mr,0,51,7.8958
0,?,2,male,32,0,0,13.5,S,?,Mr,0,64,13.5
0,?,3,male,18,0,0,7.75,S,?,Mr,0,54,7.75
1,?,3,female,22,0,0,7.725,Q,?,Miss,0,66,7.725
1,?,1,male,13,2,2,262.375,C,B,Master,4,13,52.475
1,?,2,female,38.903226,0,0,21,S,?,Mrs,0,77.806452,21
1,?,3,female,18,0,0,7.8792,Q,?,Miss,0,54,7.8792
0,?,1,male,47,0,0,42.4,S,?,Mr,0,47,42.4
0,?,1,male,31,0,0,28.5375,C,C,Mr,0,31,28.5375
1,?,1,female,60,1,4,263,S,C,Mrs,5,60,43.833333
1,?,3,female,24,0,0,7.75,Q,?,Miss,0,72,7.75
0,?,3,male,21,0,0,7.8958,S,?,Mr,0,63,7.8958
0,?,3,female,29,0,0,7.925,S,?,Miss,0,87,7.925
1,?,1,male,28.5,0,0,27.7208,C,D,Mr,0,28.5,27.7208
1,?,1,female,35,0,0,211.5,C,C,Miss,0,35,211.5
0,?,1,male,32.5,0,0,211.5,C,C,Mr,0,32.5,211.5
0,?,3,male,32,0,0,8.05,S,?,Mr,0,96,8.05
1,?,1,female,55,2,0,25.7,S,C,Mrs,2,55,8.566667
0,?,2,male,30,0,0,13,S,?,Mr,0,60,13
1,?,3,female,24,0,0,7.75,Q,?,Miss,0,72,7.75
1,?,3,male,6,1,1,15.2458,C,?,Master,2,18,5.081933
0,?,1,male,67,1,0,221.7792,S,C,Mr,1,67,110.8896
0,?,1,male,49,0,0,26,S,?,Mr,0,49,26
0,?,3,male,32,0,0,7.8958,S,?,Mr,0,96,7.8958
0,?,2,male,32,0,0,10.7083,Q,?,Mr,0,64,10.7083
0,?,3,male,32,1,0,14.4542,C,?,Mr,1,96,7.2271
1,?,3,female,27,0,0,7.8792,Q,?,Miss,0,81,7.8792
0,?,3,female,18,0,0,8.05,S,?,Miss,0,54,8.05
1,?,3,female,?,0,0,7.75,Q,?,Miss,0,?,7.75
1,?,2,male,2,1,1,23,S,?,Master,2,4,7.666667
1,?,3,female,22,1,0,13.9,S,?,Mrs,1,66,6.95
0,?,3,male,32,0,0,7.775,S,?,Mr,0,96,7.775
1,?,1,female,27,1,2,52,S,B,Mrs,3,27,13
0,?,3,male,32,0,0,8.05,S,?,Mr,0,96,8.05
0,?,1,male,25,0,0,26,C,?,Mr,0,25,26
0,?,3,male,25,0,0,7.7958,S,?,Mr,0,75,7.7958
1,?,1,female,76,1,0,78.85,S,C,Mrs,1,76,39.425
0,?,3,male,29,0,0,7.925,S,?,Mr,0,87,7.925
0,?,3,female,20,0,0,7.8542,S,?,Miss,0,60,7.8542
0,?,3,male,33,0,0,8.05,S,?,Mr,0,99,8.05
1,?,1,female,43,1,0,55.4417,C,C,Mrs,1,43,27.72085
0,?,2,male,27,1,0,26,S,?,Mr,1,54,13
0,?,3,male,32,0,0,7.75,Q,?,Mr,0,96,7.75
0,?,3,male,26,0,0,7.775,S,?,Mr,0,78,7.775
1,?,3,female,16,1,1,8.5167,C,?,Mrs,2,48,2.8389
0,?,3,male,28,0,0,22.525,S,?,Mr,0,84,22.525
0,?,3,male,21,0,0,7.8208,Q,?,Mr,0,63,7.8208
0,?,3,male,32,0,0,7.75,Q,?,Mr,0,96,7.75
0,?,3,male,32,0,0,8.7125,S,?,Mr,0,96,8.7125
0,?,2,male,18.5,0,0,13,S,F,Mr,0,37,13
0,?,2,male,41,0,0,15.0458,C,?,Mr,0,82,15.0458
1,?,3,female,21.774844,0,0,7.7792,Q,?,Miss,0,65.324531,7.7792
1,?,1,female,36,0,0,31.6792,C,A,Miss,0,36,31.6792
1,?,3,female,18.5,0,0,7.2833,Q,?,Miss,0,55.5,7.2833
1,?,1,female,63,1,0,221.7792,S,C,Mrs,1,63,110.8896
0,?,3,male,18,1,0,14.4542,C,?,Mr,1,54,7.2271
0,?,3,male,32,0,0,6.4375,C,?,Mr,0,96,6.4375
1,?,3,female,1,1,1,16.7,S,G,Miss,2,3,5.566667
0,?,1,male,36,0,0,75.2417,C,C,Mr,0,36,75.2417
1,?,2,female,29,1,0,26,S,?,Mrs,1,58,13
1,?,2,female,12,0,0,15.75,S,?,Miss,0,24,15.75
0,?,3,male,32,1,0,7.75,Q,?,Mr,1,96,3.875
1,?,1,female,35,1,0,57.75,C,C,Mrs,1,35,28.875
0,?,3,male,28,0,0,7.25,S,?,Mr,0,84,7.25
0,?,3,male,32,0,0,7.75,Q,?,Mr,0,96,7.75
0,?,3,female,17,0,1,16.1,S,?,Miss,1,51,8.05
0,?,3,male,22,0,0,7.7958,S,?,Mr,0,66,7.7958
1,?,3,female,21.774844,2,0,23.25,Q,?,Miss,2,65.324531,7.75
0,?,2,male,42,0,0,13,S,?,Mr,0,84,13
0,?,3,male,24,0,0,8.05,S,?,Mr,0,72,8.05
0,?,3,male,32,0,0,8.05,S,?,Mr,0,96,8.05
0,?,1,male,53,0,0,28.5,C,C,Mr,0,53,28.5
0,?,3,female,38.903226,0,4,25.4667,S,?,Mrs,4,116.709677,5.09334
0,?,3,male,32,1,0,6.4375,C,?,Mr,1,96,3.21875
0,?,3,male,43,0,0,7.8958,S,?,Mr,0,129,7.8958
0,?,3,male,24,0,0,7.8542,S,?,Mr,0,72,7.8542
0,?,3,male,26.5,0,0,7.225,C,?,Mr,0,79.5,7.225
0,?,2,male,26,0,0,13,S,?,Mr,0,52,13
0,?,3,female,23,0,0,8.05,S,?,Miss,0,69,8.05
0,?,3,male,40,1,6,46.9,S,?,Mr,7,120,5.8625
0,?,3,female,10,5,2,46.9,S,?,Miss,7,30,5.8625
1,?,1,female,33,0,0,151.55,S,?,Miss,0,33,151.55
0,?,1,male,61,1,3,262.375,C,B,Mr,4,61,52.475
