@relation titanic_predicted

@attribute Passengerid numeric
@attribute predictedclass {0,1}
@attribute class {0,1}
@attribute Pclass numeric
@attribute Sex numeric
@attribute Age numeric
@attribute SibSp numeric
@attribute Parch numeric
@attribute Fare numeric

@data
892,0,?,3,0,34.5,0,0,7.8292
893,1,?,3,1,47,1,0,7
894,0,?,2,0,62,0,0,9.6875
895,0,?,3,0,27,0,0,8.6625
896,0,?,3,1,22,1,1,12.2875
897,0,?,3,0,14,0,0,9.225
898,1,?,3,1,30,0,0,7.6292
899,0,?,2,0,26,1,1,29
900,1,?,3,1,18,0,0,7.2292
901,0,?,3,0,21,2,0,24.15
902,0,?,3,0,?,0,0,7.8958
903,0,?,1,0,46,0,0,26
904,1,?,1,1,23,1,0,82.2667
905,0,?,2,0,63,1,0,26
906,1,?,1,1,47,1,0,61.175
907,1,?,2,1,24,1,0,27.7208
908,0,?,2,0,35,0,0,12.35
909,0,?,3,0,21,0,0,7.225
910,0,?,3,1,27,1,0,7.925
911,1,?,3,1,45,0,0,7.225
912,0,?,1,0,55,1,0,59.4
913,0,?,3,0,9,0,1,3.1708
914,1,?,1,1,?,0,0,31.6833
915,0,?,1,0,21,0,1,61.3792
916,1,?,1,1,48,1,3,262.375
917,0,?,3,0,50,1,0,14.5
918,1,?,1,1,22,0,1,61.9792
919,0,?,3,0,22.5,0,0,7.225
920,1,?,1,0,41,0,0,30.5
921,0,?,3,0,?,2,0,21.6792
922,0,?,2,0,50,1,0,26
923,0,?,2,0,24,2,0,31.5
924,0,?,3,1,33,1,2,20.575
925,0,?,3,1,?,1,2,23.45
926,0,?,1,0,30,1,0,57.75
927,0,?,3,0,18.5,0,0,7.2292
928,0,?,3,1,?,0,0,8.05
929,0,?,3,1,21,0,0,8.6625
930,0,?,3,0,25,0,0,9.5
931,1,?,3,0,?,0,0,56.4958
932,0,?,3,0,39,0,1,13.4167
933,1,?,1,0,?,0,0,26.55
934,0,?,3,0,41,0,0,7.85
935,1,?,2,1,30,0,0,13
936,1,?,1,1,45,1,0,52.5542
937,0,?,3,0,25,0,0,7.925
938,1,?,1,0,45,0,0,29.7
939,0,?,3,0,?,0,0,7.75
940,1,?,1,1,60,0,0,76.2917
941,1,?,3,1,36,0,2,15.9
942,0,?,1,0,24,1,0,60
943,0,?,2,0,27,0,0,15.0333
944,1,?,2,1,20,2,1,23
945,1,?,1,1,28,3,2,263
946,0,?,2,0,?,0,0,15.5792
947,0,?,3,0,10,4,1,29.125
948,0,?,3,0,35,0,0,7.8958
949,0,?,3,0,25,0,0,7.65
950,0,?,3,0,?,1,0,16.1
951,1,?,1,1,36,0,0,262.375
952,0,?,3,0,17,0,0,7.8958
953,0,?,2,0,32,0,0,13.5
954,0,?,3,0,18,0,0,7.75
955,1,?,3,1,22,0,0,7.725
956,1,?,1,0,13,2,2,262.375
957,1,?,2,1,?,0,0,21
958,0,?,3,1,18,0,0,7.8792
959,0,?,1,0,47,0,0,42.4
960,1,?,1,0,31,0,0,28.5375
961,1,?,1,1,60,1,4,263
962,0,?,3,1,24,0,0,7.75
963,0,?,3,0,21,0,0,7.8958
964,0,?,3,1,29,0,0,7.925
965,1,?,1,0,28.5,0,0,27.7208
966,1,?,1,1,35,0,0,211.5
967,0,?,1,0,32.5,0,0,211.5
968,0,?,3,0,?,0,0,8.05
969,1,?,1,1,55,2,0,25.7
970,0,?,2,0,30,0,0,13
971,0,?,3,1,24,0,0,7.75
972,1,?,3,0,6,1,1,15.2458
973,0,?,1,0,67,1,0,221.7792
974,0,?,1,0,49,0,0,26
975,0,?,3,0,?,0,0,7.8958
976,0,?,2,0,?,0,0,10.7083
977,0,?,3,0,?,1,0,14.4542
978,0,?,3,1,27,0,0,7.8792
979,0,?,3,1,18,0,0,8.05
980,0,?,3,1,?,0,0,7.75
981,1,?,2,0,2,1,1,23
982,0,?,3,1,22,1,0,13.9
