@RELATION titanic

@ATTRIBUTE class {0,1}
@ATTRIBUTE Pclass {1,2,3}
@ATTRIBUTE Sex {0,1}
@ATTRIBUTE Age NUMERIC
@ATTRIBUTE SibSp NUMERIC
@ATTRIBUTE Parch NUMERIC
@ATTRIBUTE Fare NUMERIC
@ATTRIBUTE embarked {C,Q,S}
@ATTRIBUTE familysize NUMERIC
@ATTRIBUTE fareperperson NUMERIC

@DATA
0,3,0,22,1,0,7.25,S,1,3.625
1,1,1,38,1,0,71.2833,C,1,35.64165
1,3,1,26,0,0,7.925,S,0,7.925
1,1,1,35,1,0,53.1,S,1,26.55
0,3,0,35,0,0,8.05,S,0,8.05
0,3,0,?,0,0,8.4583,Q,0,8.4583
0,1,0,54,0,0,51.8625,S,0,51.8625
0,3,0,2,3,1,21.075,S,4,4.215
1,3,1,27,0,2,11.1333,S,2,3.7111
1,2,1,14,1,0,30.0708,C,1,15.0354
1,3,1,4,1,1,16.7,S,2,5.56666666667
1,1,1,58,0,0,26.55,S,0,26.55
0,3,0,20,0,0,8.05,S,0,8.05
0,3,0,39,1,5,31.275,S,6,4.46785714286
0,3,1,14,0,0,7.8542,S,0,7.8542
1,2,1,55,0,0,16,S,0,16.0
0,3,0,2,4,1,29.125,Q,5,4.85416666667
1,2,0,?,0,0,13,S,0,13.0
0,3,1,31,1,0,18,S,1,9.0
1,3,1,?,0,0,7.225,C,0,7.225
0,2,0,35,0,0,26,S,0,26.0
1,2,0,34,0,0,13,S,0,13.0
1,3,1,15,0,0,8.0292,Q,0,8.0292
1,1,0,28,0,0,35.5,S,0,35.5
0,3,1,8,3,1,21.075,S,4,4.215
1,3,1,38,1,5,31.3875,S,6,4.48392857143
0,3,0,?,0,0,7.225,C,0,7.225
0,1,0,19,3,2,263,S,5,43.8333333333
1,3,1,?,0,0,7.8792,Q,0,7.8792
0,3,0,?,0,0,7.8958,S,0,7.8958
0,1,0,40,0,0,27.7208,C,0,27.7208
1,1,1,?,1,0,146.5208,C,1,73.2604
1,3,1,?,0,0,7.75,Q,0,7.75
0,2,0,66,0,0,10.5,S,0,10.5
0,1,0,28,1,0,82.1708,C,1,41.0854
0,1,0,42,1,0,52,S,1,26.0
1,3,0,?,0,0,7.2292,C,0,7.2292
0,3,0,21,0,0,8.05,S,0,8.05
0,3,1,18,2,0,18,S,2,6.0
1,3,1,14,1,0,11.2417,C,1,5.62085
0,3,1,40,1,0,9.475,S,1,4.7375
0,2,1,27,1,0,21,S,1,10.5
0,3,0,?,0,0,7.8958,C,0,7.8958
1,2,1,3,1,2,41.5792,C,3,10.3948
1,3,1,19,0,0,7.8792,Q,0,7.8792
0,3,0,?,0,0,8.05,S,0,8.05
0,3,0,?,1,0,15.5,Q,1,7.75
1,3,1,?,0,0,7.75,Q,0,7.75
0,3,0,?,2,0,21.6792,C,2,7.2264
0,3,1,18,1,0,17.8,S,1,8.9
0,3,0,7,4,1,39.6875,S,5,6.61458333333
0,3,0,21,0,0,7.8,S,0,7.8
1,1,1,49,1,0,76.7292,C,1,38.3646
1,2,1,29,1,0,26,S,1,13.0
0,1,0,65,0,1,61.9792,C,1,30.9896
1,1,0,?,0,0,35.5,S,0,35.5
1,2,1,21,0,0,10.5,S,0,10.5
0,3,0,28.5,0,0,7.2292,C,0,7.2292
1,2,1,5,1,2,27.75,S,3,6.9375
0,3,0,11,5,2,46.9,S,7,5.8625
0,3,0,22,0,0,7.2292,C,0,7.2292
1,1,1,38,0,0,80,?,0,80.0
0,1,0,45,1,0,83.475,S,1,41.7375
0,3,0,4,3,2,27.9,S,5,4.65
0,1,0,?,0,0,27.7208,C,0,27.7208
1,3,0,?,1,1,15.2458,C,2,5.08193333333
1,2,1,29,0,0,10.5,S,0,10.5
0,3,0,19,0,0,8.1583,S,0,8.1583
1,3,1,17,4,2,7.925,S,6,1.13214285714
0,3,0,26,2,0,8.6625,S,2,2.8875
0,2,0,32,0,0,10.5,S,0,10.5
0,3,1,16,5,2,46.9,S,7,5.8625
0,2,0,21,0,0,73.5,S,0,73.5
0,3,0,26,1,0,14.4542,C,1,7.2271
1,3,0,32,0,0,56.4958,S,0,56.4958
0,3,0,25,0,0,7.65,S,0,7.65
0,3,0,?,0,0,7.8958,S,0,7.8958
0,3,0,?,0,0,8.05,S,0,8.05
1,2,0,0.83,0,2,29,S,2,9.66666666667
1,3,1,30,0,0,12.475,S,0,12.475
0,3,0,22,0,0,9,S,0,9.0
1,3,0,29,0,0,9.5,S,0,9.5
1,3,1,?,0,0,7.7875,Q,0,7.7875
0,1,0,28,0,0,47.1,S,0,47.1
1,2,1,17,0,0,10.5,S,0,10.5
1,3,1,33,3,0,15.85,S,3,3.9625
