Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,Familysize,Age*Class,FarePerPerson
0,3,male,22.0,1,0,7.25,S,Mr,1,66.0,3.625
1,1,female,38.0,1,0,71.2833,C,Mrs,1,38.0,35.64165
1,3,female,26.0,0,0,7.925,S,Miss,0,78.0,7.925
1,1,female,35.0,1,0,53.1,S,Mrs,1,35.0,26.55
0,3,male,35.0,0,0,8.05,S,Mr,0,105.0,8.05
0,3,male,32.409774436090224,0,0,8.4583,Q,Mr,0,97.22932330827066,8.4583
0,1,male,54.0,0,0,51.8625,S,Mr,0,54.0,51.8625
0,3,male,2.0,3,1,21.075,S,Master,4,6.0,4.215
1,3,female,27.0,0,2,11.1333,S,Mrs,2,81.0,3.7111
1,2,female,14.0,1,0,30.0708,C,Mrs,1,28.0,15.0354
1,3,female,4.0,1,1,16.7,S,Miss,2,12.0,5.566666666666666
1,1,female,58.0,0,0,26.55,S,Miss,0,58.0,26.55
0,3,male,20.0,0,0,8.05,S,Mr,0,60.0,8.05
0,3,male,39.0,1,5,31.275,S,Mr,6,117.0,4.4678571428571425
0,3,female,14.0,0,0,7.8542,S,Miss,0,42.0,7.8542
1,2,female,55.0,0,0,16.0,S,Mrs,0,110.0,16.0
0,3,male,2.0,4,1,29.125,Q,Master,5,6.0,4.854166666666667
1,2,male,32.409774436090224,0,0,13.0,S,Mr,0,64.81954887218045,13.0
0,3,female,31.0,1,0,18.0,S,Mrs,1,93.0,9.0
1,3,female,35.642857142857146,0,0,7.225,C,Mrs,0,106.92857142857144,7.225
0,2,male,35.0,0,0,26.0,S,Mr,0,70.0,26.0
1,2,male,34.0,0,0,13.0,S,Mr,0,68.0,13.0
1,3,female,15.0,0,0,8.0292,Q,Miss,0,45.0,8.0292
1,1,male,28.0,0,0,35.5,S,Mr,0,28.0,35.5
0,3,female,8.0,3,1,21.075,S,Miss,4,24.0,4.215
1,3,female,38.0,1,5,31.3875,S,Mrs,6,114.0,4.483928571428572
0,3,male,32.409774436090224,0,0,7.225,C,Mr,0,97.22932330827066,7.225
0,1,male,19.0,3,2,263.0,S,Mr,5,19.0,43.833333333333336
1,3,female,21.77777777777778,0,0,7.8792,Q,Miss,0,65.33333333333334,7.8792
0,3,male,32.409774436090224,0,0,7.8958,S,Mr,0,97.22932330827066,7.8958
0,1,male,40.0,0,0,27.7208,C,Mr,0,40.0,27.7208
